"dates","titles","end_price","start_price","high_price","low_price","amount"
"2013-08-09",NA,141500,142500,143500,140500,403279
"2013-08-12",NA,143000,142000,144000,141500,228157
"2013-08-13",NA,144500,144000,145500,143000,222917
"2013-08-14",NA,149000,145500,149500,144500,479191
"2013-08-16",NA,149000,146000,151000,145500,300507
"2013-08-19","SK이노베이션-여성가족부, 여성/청소년/가족 관련 모바일 아이디어 공모",149000,149500,150000,148000,136374
"2013-08-20",NA,144500,147500,149500,143500,416771
"2013-08-21",NA,141000,145000,145500,139500,341731
"2013-08-22",NA,140000,138000,141000,137500,311306
"2013-08-23",NA,140500,140000,142500,139000,249391
"2013-08-26",NA,141500,141000,142500,140000,163740
"2013-08-27","SK이노베이션, ‘사회적 경제’ 활성화에 팔 걷어",141500,140500,142500,139000,288126
"2013-08-28",NA,140000,140000,141500,139000,364047
"2013-08-29",NA,140500,142500,143500,140500,680849
"2013-08-30",NA,140000,141500,141500,138500,474445
"2013-09-02",NA,140000,139500,140000,138500,260403
"2013-09-03",NA,140000,140500,141000,138500,489419
"2013-09-04",NA,138000,139000,140000,136500,666039
"2013-09-05","SK이노베이션, ‘혁신 아이디어’ 공모전 시상",139500,138500,141000,137500,457691
"2013-09-06",NA,142500,139000,144000,139000,567486
"2013-09-09",NA,148500,144500,149500,144000,905119
"2013-09-10",NA,149000,149000,151500,146500,523844
"2013-09-11",NA,149000,147500,149500,147000,389865
"2013-09-12",NA,148500,149500,151500,147500,433513
"2013-09-13",NA,148000,150500,150500,148000,269440
"2013-09-16",NA,150000,148000,151000,148000,467844
"2013-09-17",NA,150500,151000,151000,148500,439809
"2013-09-23",NA,152000,149500,152500,149000,380025
"2013-09-24",NA,149000,151500,151500,146500,455181
"2013-09-25",NA,146500,148000,148000,146000,377305
"2013-09-26",NA,148000,145500,149500,145500,297861
"2013-09-27",NA,148500,149500,150000,147000,263956
"2013-09-30","SK이노베이션, 석탄에 ‘ASK’를 던지다",146000,146500,147000,144500,378627
"2013-10-01","SK인천석유화학, 이재환 대표이사 신규 선임",145500,144500,146000,144000,192627
"2013-10-02",NA,144500,146000,146500,144500,194082
"2013-10-04",NA,144000,144000,144500,141000,234176
"2013-10-07",NA,143500,143000,145500,143000,130353
"2013-10-08","SK에너지, 새 광고 캠페인 ‘진심(True)을 채우다’ 선봬",146000,143000,146500,141000,226226
"2013-10-10",NA,145000,145500,146000,143500,176977
"2013-10-11","SK이노베이션, 2013 대구 세계에너지총회 참가",148500,146500,150000,145000,467642
"2013-10-14",NA,149000,148500,150500,148500,280613
"2013-10-15",NA,151500,151000,152500,150000,432186
"2013-10-16",NA,153000,151500,154000,151000,425293
"2013-10-17",NA,152000,154500,155000,150000,340958
"2013-10-18",NA,151500,152500,152500,150000,229072
"2013-10-21",NA,157500,152500,158500,152500,860593
"2013-10-22",NA,158000,157500,158500,156000,357911
"2013-10-23",NA,154500,159000,159500,154000,482096
"2013-10-24",NA,154500,154000,156000,151500,303659
"2013-10-25","SK이노베이션-공항석유, 다문화 가정 합동 결혼식 지원",152000,154500,155500,150500,374109
